title,image_url,price,link
Lydia Tank,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/MH228D-622PS0710000_5_533x.jpg?v=1690360461,$16,https://us.brandymelville.com/products/black-fitted-cropped-tank-top
Rosa Sweatshorts,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MCH002S-1025SI720000_01_533x.jpg?v=1689465991,$25,https://us.brandymelville.com/products/rosa-sweatshorts-12-5s-z2
Zelly Striped Top,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MW935HG-166SU5800B16_0_533x.jpg?v=1691531440,$24,https://us.brandymelville.com/products/zelly-striped-top
Blue Heart Necklace,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU373J24D00888_0_533x.jpg?v=1691611134,$12,https://us.brandymelville.com/products/blue-heart-necklace-1
Tote Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU706G27SR1M888_0_533x.jpg?v=1691611131,$36,https://us.brandymelville.com/products/tote-bag-2
Christy Plaid Hoodie,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MDA110Z-Z194SU7200Z290_0_533x.jpg?v=1691611160,$48,https://us.brandymelville.com/products/christy-plaid-hoodie-1
Estelle Cotton Top,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MJB033R-8002SR880000_0_533x.jpg?v=1691611174,$22,https://us.brandymelville.com/products/estelle-cotton-top
Colette Sweater,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MNJ249-Q27S16200RS_0_533x.jpg?v=1691611185,$35,https://us.brandymelville.com/products/colette-sweater
Roxy Top,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MH540-Z368S0010000_01_533x.jpg?v=1691715345,$24,https://us.brandymelville.com/products/roxy-top-1
Zoe V-Neck Cardigan,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MH560V-Q08S1620000_0_533x.jpg?v=1691798720,$32,https://us.brandymelville.com/products/zoe-v-neck-cardigan
Rafaela Top,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MH657-Z334S0020000_0_533x.jpg?v=1691715341,$24,https://us.brandymelville.com/products/rafaela-top
Heart Locket Necklace,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU307J022SS888_0_533x.jpg?v=1691715310,$12,https://us.brandymelville.com/products/heart-locket-necklace
Matilda Tank Top,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MH631S-Z375M1620000_0_533x.jpg?v=1691715312,$24,https://us.brandymelville.com/products/matilda-tank-top
Messenger Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU707G6AMR1M888_0_533x.jpg?v=1691780800,$42,https://us.brandymelville.com/products/messenger-bag
Leather Shoulder Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU798F6AMR11888_01_533x.jpg?v=1691780795,$42,https://us.brandymelville.com/products/leather-shoulder-bag
Shoulder Bag,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU794F27S352888_0_533x.jpg?v=1691780797,$24,https://us.brandymelville.com/products/shoulder-bag-1
Floral Boyshort Underwear,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MY122P-58S07100V264A_0_533x.jpg?v=1691780792,$15,https://us.brandymelville.com/products/floral-boyshort-underwear
